country_code,indicator,currency_code,frequency,year,avg_wage_value
NLD,AVWAGE,USD,A,2011,56587.55978
NLD,AVWAGE,USD,A,2012,56820.37884
NLD,AVWAGE,USD,A,2013,57019.56486
NLD,AVWAGE,USD,A,2014,56711.86186
NLD,AVWAGE,USD,A,2015,57378.21452
NLD,AVWAGE,USD,A,2016,57573.20166
NLD,AVWAGE,USD,A,2017,57138.28325
NLD,AVWAGE,USD,A,2018,56708.92587
NLD,AVWAGE,USD,A,2019,56552.29043
NOR,AVWAGE,USD,A,1990,31089.06945
NOR,AVWAGE,USD,A,1991,31433.2481
NOR,AVWAGE,USD,A,1992,31834.96609
NOR,AVWAGE,USD,A,1993,32138.68107
NOR,AVWAGE,USD,A,1994,32793.80351
NOR,AVWAGE,USD,A,1995,33100.09092
NOR,AVWAGE,USD,A,1996,34100.97459
NOR,AVWAGE,USD,A,1997,34845.22506
NOR,AVWAGE,USD,A,1998,36118.70813
NOR,AVWAGE,USD,A,1999,37292.68382
NOR,AVWAGE,USD,A,2000,37616.38812
NOR,AVWAGE,USD,A,2001,38542.37008
NOR,AVWAGE,USD,A,2002,40140.26416
NOR,AVWAGE,USD,A,2003,40678.93459
NOR,AVWAGE,USD,A,2004,42033.34262
NOR,AVWAGE,USD,A,2005,43262.69092
NOR,AVWAGE,USD,A,2006,45036.40962
NOR,AVWAGE,USD,A,2007,47061.40303
NOR,AVWAGE,USD,A,2008,48107.61698
NOR,AVWAGE,USD,A,2009,48613.69989
NOR,AVWAGE,USD,A,2010,49247.69684
NOR,AVWAGE,USD,A,2011,50962.25704
NOR,AVWAGE,USD,A,2012,52364.83341
NOR,AVWAGE,USD,A,2013,53396.43497
NOR,AVWAGE,USD,A,2014,53662.60506
NOR,AVWAGE,USD,A,2015,53943.78397
NOR,AVWAGE,USD,A,2016,52943.44998
NOR,AVWAGE,USD,A,2017,53034.32566
NOR,AVWAGE,USD,A,2018,53484.64221
